#{"t_start": 1662314363.275647, "env_id": null}
r,l,t
142,2557,77.609271
253,2533,144.890318
190,2667,219.945174
217,1310,255.842943
126,1459,280.563027
181,2143,317.989546
195,1657,343.254727
160,2437,373.116898
287,3175,424.782782
199,2395,468.167686
